"Variable","Variable Number","Topic","Topic Number","Subtopic","Subtopic Number","Survey Years","Availability","Description","Table Name","Type","Edit Flag Variable","Imputation Strategy","Response Codes","Question Text","Instrument Variable Name(s)","Disclosure","Conditions in Universe","User Notes"
"UNITFLOORS","19","Structural","3","Interior Features","3","2015 National, 2015 Metro","PUF","Number of floors within the unit","HOUSEHOLD","Numeric","JUNITFLOORS","Coming soon","1 : 2: 1 to 2 floors||3: 3 or more floors||N or -6: Not applicable","How many stories are there in this unit?","FLOORSQ","Collapsed","INTSTATUS in ('1' '2' '3') and BLD in ('01' '02' '03')","For single family homes and manufactured homes, STORIES and UNITFLOORS have the same value.",
"UNITSIZE","20","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","PUF","Unit size (square feet)","HOUSEHOLD","Character","JUNITSIZE","Coming soon","1: Less than 500 square feet||2: 500 to 749 square feet||3: 750 to 999 square feet||4: 1,000 to 1,499 square feet||5: 1,500 to 1,999 square feet||6: 2,000 to 2,499 square feet||7: 2,500 to 2,999 square feet||8: 3,000 to 3,999 square feet||9: 4,000 square feet or more||M or -9: Not reported","Thinking about all the rooms you mentioned earlier, as well as the hallways and entry ways in this housing unit, about how many square feet is that?","UNITSFQ","Collapsed","INTSTATUS in ('1' '2' '3')","Internal data users can use UNITSIZE_IUF.",
"UNITSIZE_IUF","21","Structural","3","Interior Features","3","2023 National, 2023 Metro, 2021 National, 2021 Metro, 2019 National, 2019 Metro, 2017 National, 2017 Metro, 2015 National, 2015 Metro","IUF Only","Unit size (square feet)","HOUSEHOLD","Numeric","JUNITSIZE_IUF","Coming soon","99 : 99998: 99 to 99,998 square feet||99999: 99,999 square feet or more||M or -9: Not reported","Thinking about all the rooms you mentioned earlier, as well as the hallways and entry ways in this housing unit, about how many square feet is that?","UNITSFQ","Withheld","INTSTATUS in ('1' '2' '3')","",
"BATHS","22","Structural","3","Interior Features","3","2013 National, 2011 National, 2009 National, 2007 National, 2005 National, 2003 National, 2001 National, 1999 National","PUF","Number of full bathrooms in unit","HOUSEHOLD","Numeric","JBATHS","","0 : 9: 0 to 9 full bathrooms||10: 10 or more full bathrooms","","","","","",
"BATHS","22","Structural","3","Interior Features","3","2013 Metro, 2011 Metro, 2009 Metro, 2007 Metro, 2004 Metro, 2002 Metro, 1998 Metro","PUF","Number of full bathrooms in unit","HOUSEHOLD","Numeric","JBATHS","","0: No bathrooms||1 : 9: 1 to 9 bathrooms||10: 10 or more","","","","","",
"BATHS","22","Structural","3","Interior Features","3","1997 National","PUF","Number of full bathrooms in unit","HOUSEHOLD","Numeric","JBATHS","","0 : 9: 0 to 9 full bathrooms","","","","","",
"BATHS","22","Structural","3","Interior Features","3","1996 Metro, 1995 Metro, 1994 Metro, 1993 Metro, 1992 Metro, 1991 Metro, 1990 Metro, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 Metro, 1984 Metro","PUF","Number of bathrooms in unit","Flat File","Numeric","","","0: No bathrooms||1 : 9: 1 to 9 bathrooms||10: 10 or more","","","","","",
"BATHS","22","Structural","3","Interior Features","3","1995 National, 1993 National, 1991 National, 1989 National, 1987 National, 1985 National","PUF","Number of bathrooms in unit","Flat File","Numeric","","","0: No bathrooms||1 : 9: 1 to 9 bathrooms||10: 10 or more full bathrooms","","","","","",
"BATHS","22","Structural","3","Interior Features","3","1983 National, 1983 Metro, 1982 Metro, 1981 National, 1981 Metro, 1980 National, 1980 Metro, 1979 National, 1979 Metro, 1978 National, 1978 Metro, 1977 National, 1977 Metro, 1976 National, 1976 Metro, 1975 National, 1975 Metro, 1974 National, 1974 Metro, 1973 National","PUF","Number of bathrooms in unit","Flat File","Character","","","1: All facilities, but not in one room||2: One full bath||3: One full bath, plus half bath without toilet||4: One full bath, plus half bath with toilet||5: Two full baths||6: Over two baths||9: Not applicable","","","","","",
"BEDRMS","23","Structural","3","Interior Features","3","2013 National, 2011 National","PUF","Number of bedrooms in unit","HOUSEHOLD","Numeric","JEDRMS","","0 : 9: 0 to 9 bedrooms","","","","","",
"BEDRMS","23","Structural","3","Interior Features","3","2013 Metro, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Number of bedrooms in unit","HOUSEHOLD","Numeric","JEDRMS","","0 : 9: 0 to 9 bedrooms||10: 10 or more bedrooms","","","","","",
"BEDRMS","23","Structural","3","Interior Features","3","1996 Metro, 1995 National, 1995 Metro, 1994 Metro, 1993 National, 1993 Metro, 1992 Metro, 1991 National, 1991 Metro, 1989 National, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 National, 1985 Metro","PUF","Number of bedrooms in unit","Flat File","Numeric","","","0: None||1 : 9: 1 to 9 bedrooms||10: 10 or more bedrooms","","","","","",
"BEDRMS","23","Structural","3","Interior Features","3","1990 Metro","PUF","Number of bedrooms in unit","Flat File","Numeric","","","0: None||1 : 9: 1 to 9 bedrooms||10: 10 or more bedrooms||99: Not applicable","","","","","",
"BEDRMS","23","Structural","3","Interior Features","3","1987 National","PUF","Number of bedrooms in unit","Flat File","Numeric","","","0: None||1 : 9: 1 to 9 bedrooms||10: 10 or more bedrooms||. : Not applicable / Not reported","","","","","",
"BEDRMS","23","Structural","3","Interior Features","3","1984 Metro, 1975 Metro, 1974 Metro, 1973 National","PUF","Number of bedrooms in unit","Flat File","Numeric","","","0 : 19: 0 to 19 bedrooms||20: 20 or more bedrooms","","","","","",
"BEDRMS","23","Structural","3","Interior Features","3","1983 National, 1981 National, 1980 National, 1979 National, 1978 National, 1977 National","PUF","Number of bedrooms in unit","Flat File","Numeric","","","0 : 5: 0 to 5 bedrooms||6: 6 or more bedrooms||99: Not applicable","","","","","",
"BEDRMS","23","Structural","3","Interior Features","3","1983 Metro, 1982 Metro, 1981 Metro, 1980 Metro, 1979 Metro, 1978 Metro, 1977 Metro, 1976 Metro","PUF","Number of bedrooms in unit","Flat File","Numeric","","","0 : 19: 0 to 19 bedrooms||20: 20 or more bedrooms||99: Not applicable","","","","","",
"BEDRMS","23","Structural","3","Interior Features","3","1976 National, 1975 National, 1974 National","PUF","Number of bedrooms in unit","Flat File","Numeric","","","0 : 5: 0 to 5 bedrooms||6: 6 or more bedrooms","","","","","",
"BSINK","24","Structural","3","Interior Features","3","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Unit has a bathroom sink","HOUSEHOLD","Character","JBSINK","","1: Yes||2: No","","","","","",
"CELLAR","25","Structural","3","Interior Features","3","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Unit has a basement","HOUSEHOLD","Character","JELLAR","","1: With basement under all of the house||2: With basement under part of the house||3: With crawl space||4: On a concrete slab||5: In some other way||B: Not applicable","","","","","",
"CELLAR","25","Structural","3","Interior Features","3","1996 Metro, 1995 Metro, 1994 Metro, 1993 Metro, 1992 Metro, 1991 Metro, 1990 Metro, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 Metro, 1984 Metro","PUF","Unit has a basement","Flat File","Character","","","1: Basement under all of the building||2: Basement under part of the building||3: Crawlspace under building||4: Concrete slab under building||5: Something else under building||9: Not applicable","","","","","",
"CELLAR","25","Structural","3","Interior Features","3","1995 National, 1993 National, 1991 National, 1989 National, 1987 National, 1985 National","PUF","Unit has a basement","Flat File","Character","","","1: Basement under all of the building||2: Basement under part of the building||3: Crawlspace under building||4: Concrete slab under building||5: Something else under building||Blank: Not applicable / Not reported","","","","","",
"CELLAR","25","Structural","3","Interior Features","3","1983 National, 1983 Metro, 1982 Metro, 1981 National, 1981 Metro, 1980 National, 1980 Metro, 1979 National, 1979 Metro, 1978 National, 1978 Metro, 1977 National, 1977 Metro, 1976 Metro","PUF","Unit has a basement","Flat File","Character","","","1: Basement under building (completeness not specified)||2: No basement in building||9: Not applicable","","","","","",
"CELLAR","25","Structural","3","Interior Features","3","1976 National, 1975 National, 1975 Metro, 1974 National, 1974 Metro, 1973 National","PUF","Unit has a basement","Flat File","Character","","","1: Basement under building (completeness not specified)||2: No basement in building","","","","","",
"FAMRM","26","Structural","3","Interior Features","3","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Number of family rooms or great rooms in unit","HOUSEHOLD","Numeric","JFAMRM","","0 : 5: 0 to 5 family rooms or great rooms","","","","","",
"HALFB","27","Structural","3","Interior Features","3","2013 National, 2011 National, 2009 National, 2007 National, 2005 National, 2003 National, 2001 National, 1999 National, 1997 National","PUF","Number of half bathrooms in unit","HOUSEHOLD","Numeric","JHALFB","","0 : 10: 0 to 10 half bathrooms","","","","","",
"HALFB","27","Structural","3","Interior Features","3","2013 Metro, 2011 Metro, 2009 Metro, 2007 Metro, 2004 Metro, 2002 Metro, 1998 Metro","PUF","Number of half bathrooms in unit","HOUSEHOLD","Numeric","JHALFB","","0 : 10: 0 to 10","","","","","",
"HALFB","27","Structural","3","Interior Features","3","1996 Metro, 1995 National, 1995 Metro, 1994 Metro, 1993 National, 1993 Metro, 1992 Metro, 1991 National, 1991 Metro, 1990 Metro, 1989 National, 1989 Metro, 1988 Metro, 1987 National, 1987 Metro, 1986 Metro, 1985 National, 1985 Metro, 1984 Metro","PUF","Number of half bathrooms in unit","Flat File","Numeric","","","0: None||1 : 9: 1 to 9||10: 10 or more","","","","","",
"KEXCLU","28","Structural","3","Interior Features","3","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Kitchen facilities for household use only","HOUSEHOLD","Character","JEXCLU","","1: Yes||2: No||B: Not applicable","","","","","",
"KITCH","29","Structural","3","Interior Features","3","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2009 National, 2009 Metro, 2007 National, 2007 Metro, 2005 National, 2004 Metro, 2003 National, 2002 Metro, 2001 National, 1999 National, 1998 Metro, 1997 National","PUF","Number of kitchens in unit","HOUSEHOLD","Numeric","JKITCH","","0 : 5: 0 to 5","","","","","",
"KITCH","29","Structural","3","Interior Features","3","1996 Metro, 1995 National, 1995 Metro, 1994 Metro, 1993 National, 1993 Metro, 1992 Metro, 1991 National, 1991 Metro, 1989 National, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 National, 1985 Metro, 1984 Metro","PUF","Number of kitchens in unit","Flat File","Numeric","","","0: None||1 : 4: 1 to 4||5: 5 or more","","","","","",
"KITCH","29","Structural","3","Interior Features","3","1990 Metro","PUF","Number of kitchens in unit","Flat File","Numeric","","","0: None||1 : 4: 1 to 4||5: 5 or more||9: Not applicable","","","","","",
"KITCH","29","Structural","3","Interior Features","3","1987 National","PUF","Number of kitchens in unit","Flat File","Numeric","","","0: None||1 : 4: 1 to 4||5: 5 or more||. : Not applicable / Not reported","","","","","",
"KITCHEN","30","Structural","3","Interior Features","3","2013 National, 2013 Metro, 2011 National, 2011 Metro, 2007 Metro, 2004 Metro, 2003 National, 2002 Metro, 2001 National","PUF","Complete kitchen facilities in unit","HOUSEHOLD","Character","NA","","1: Have complete kitchen facilities||2: Do not have complete kitchen facilities","","","","","",
"KITCHEN","30","Structural","3","Interior Features","3","2009 National, 2009 Metro, 2007 National, 2005 National, 1999 National, 1998 Metro, 1997 National","PUF","Complete kitchen facilities in unit","HOUSEHOLD","Character","NA","","1: Have complete kitchen facilities||2: Do not have complete kitchen facilities||B: Not applicable","","","","","",
"KITCHEN","30","Structural","3","Interior Features","3","1996 Metro, 1995 Metro, 1994 Metro, 1993 Metro, 1992 Metro, 1991 Metro, 1990 Metro, 1989 Metro, 1988 Metro, 1987 Metro, 1986 Metro, 1985 Metro, 1984 Metro","PUF","Complete kitchen facilities in unit","Flat File","Character","","","1: Complete kitchen facilities present||2: No complete kitchen facilities","","","","","",
"KITCHEN","30","Structural","3","Interior Features","3","1995 National, 1993 National, 1991 National, 1989 National, 1987 National, 1985 National","PUF","Complete kitchen facilities in unit","Flat File","Character","","","1: Exclusive use||2: Shared","","","","","",
"KITCHEN","30","Structural","3","Interior Features","3","1983 National, 1983 Metro, 1982 Metro, 1981 National, 1981 Metro, 1980 National, 1980 Metro, 1979 National, 1979 Metro, 1978 National, 1978 Metro, 1977 Metro, 1976 Metro","PUF","Complete kitchen facilities in unit","Flat File","Character","","","1: Yes, exclusive use||2: Yes, shared||3: No complete kitchen facilities||9: Not applicable","","","","","",
"KITCHEN","30","Structural","3","Interior Features","3","1977 National","PUF","Complete kitchen facilities in unit","Flat File","Character","","","1: Exclusive use||2: Shared||3: No complete kitchen facilities||9: Not applicable","","","","","",
